"shortform","fullname","url"
"ATFM","Air Traffic Flow Management",""
"AUC","Asset Under Construction",""
"AUP","Acceptable Use Policy",""
"AUT","Automatic Utensils Trolley",""
"AVA","Agri-Food & Veterinary Authority of Singapore",""
"AWOL","Absent Without Leave",""
"AWS","Annual Wage Supplement",""
"AWS","Amazon Web Services",""
"AWST","Australian Western Standard Time (UTC+08:00)",""
"AgTM","Agency Technical Meeting",""
"B2B","Business-to-Business",""
"B2C","Business-to-Commerce",""
"BA","Business Analyst",""
"BAD","Business Analyst, Domain",""
"BAF","Business Analyst, Functional",""
"BC/DR","Business Continuity and Disaster Recovery",""
"BCA","Building and Construction Authority",""
"BCA","Building And Construction Authority",""
"BCM","Business Continuity Management","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"BCP","Business Continuity Plan","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"BCS","Business Card System",""
"BD","Business Development",""
"BDT","Brunei Time (UTC+08:00)",""
"BEO","Block Exemption Order",""
"BGP","Business Grants Portal","https://www.businessgrants.gov.sg"
"BH","Berita Harian",""
"BI","Business Insights",""
"BI","Behavioural Indicator",""
"BIM","Building Information Modelling",""
"BIOME","Biodiversity and Environment database system",""
"BIOT","British Indian Ocean Time (UTC+06:00)",""
"BIT","Baker Island Time (UTC-12:00)",""
"BIl","Business impact level",""
"BMS","Building Management System",""
"BOT","Bolivia Time (UTC-04:00)",""
"BPI","Business Process Improvement",""
"BPO","Business Process Outsourcing",""
"BPR","Business Process Re-engineering",""
"BQ","Budgetary Quotation",""
"BRST","Braslia Summer Time (UTC-02:00)",""
"BRT","Brasilia Time (UTC-03:00)",""
"BSC","Balanced Scorecard",""
"BSEP","Bus Service Enhancement Programme",""
"BST","Bangladesh Standard Time (UTC+06:00)",""
"BTT","Bhutan Time (UTC+06:00)",""
"BYOD","Bring Your Own Device",""
"CAAS","Civil Aviation Authority of Singapore",""
"CAB","Cabinet",""
"CAG","Changi Airport Group",""
"CAGE","Cybersecurity Assessment of Government Environment",""
"CAPAM","Commonwealth Association of Public Administration & Management",""
"CAPEX","Capital Expenditure",""
"CAPTCHA","Completely Automated Public Turing test to tell Computers and Humans Apart",""
"CARE","Caring Actions in Response to Emergency",""
"CASE","Consumers Association of Singapore",""
"CAT","Central Africa Time (UTC+02:00)",""
"CBP","Community Based Programme",""
"CBT","Computer Based Training",""
"CBTC","Communications-Based Train Control",""
"CC","Commercial Cloud",""
"CCCS","Competition and Consumer Commission of Singapore",""
"CCDG","Connectivity Competition Development Group",""
"CCOD","Corporate Culture and Organisation Development",""
"CCS","Competition Commission Of Singapore",""
"CCT","Cocos Islands Time (UTC+06:30)",""
"CD","Cluster Director",""
"CDF","Chief of Defence Force, SAF",""
"CDG","Corporate Development Group",""
"CDN","Content Delivery Network",""
"CDO","Chief Data Officer",""
"CDP","Career Development Plan",""
"CDR","Common Data Representation",""
"CDSO","Chief Digital Strategy Officer",""
"CE","Chief Executive",""
"CEA","Council For Estate Agencies",""
"CEO","Chief Executive Officer",""
"CEP","Current Estimated Potential",""
"CERT","Computer Emergency Response Teams",""
"CEST","Central European Summer Time (UTC+02:00)",""
"CET","Central European Time (UTC+01:00)",""
"CFC","Call For Collaboration",""
"CFO","Chief Financial Officer",""
"CHADT","Chatham Daylight Time (UTC+13:45)",""
"CHAST","Chatham Standard Time (UTC+12:45)",""
"CHOST","Choibalsan Summer Time (UTC+09:00)",""
"CHRO","Chief Human Resources Officer",""
"CHST","Chamorro Standard Time (UTC+10:00)",""
"CHUT","Chuuk Time (UTC+10:00)",""
"CI","Critical Infrastructure",""
"CIA","Confidentiality, Integrity, Availability",""
"CIC","Central Infrastructure Consultant",""
"CII","Critical Information Infrastructure","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"CIM","Central Infrastructure Manager",""
"CIO","Chief Information Officer",""
"CIP","Continual Improvement Plan",""
"CISO","Chief Information Security Officer",""
"CIT","Central Indonesia Time (UTC+08:00)",""
"CITPM","Certified IT Project Manager Programme",""
"CITREP","Critical Infocomm Technology Resource Programme",""
"CIU","Counselling and Intervention Unit",""
"CLC","Centre for Liveable Cities",""
"CLG","Clusters Group",""
"CLST","Chile Summer Time (UTC-03:00)",""
"CLT","Chile Standard Time (UTC-04:00)",""
"CMG","Communications & Marketing Group, GovTech",""
"CMI","Capital Markets Intermediaries",""
"CMS","Content Management System",""
"CNA","Cloud Native Architecture",""
"CNB","Central Narcotics Bureau",""
"CO","Countersigning Officer",""
"COC","Code Of Conduct",""
"COC","Certificate Of Completion",""
"CODEX","Core Operations Development Environment and eXchange",""
"COE","Certificate Of Entitlement",""
"COG","Center Of Government",""
"COISCM","Centre Of Innovation for Supply Chain Management",""
"COM","CIO Ops Meeting",""
"CONOPS","Concept of Operations",""
"COP","Community Of Practices",""
"COPS","Committee Of Permanent Secretaries",""
"COR","Charge Out Rates",""
"COS","Committee Of Supply",""
"COST","Colombia Summer Time (UTC-04:00)",""
"COT","Colombia Time (UTC-05:00)",""
"COV","Cash Over Valuation",""
"CP2M","Centre for Public Project Management",""
"CPAD","Corporate Planning & Administration Department",""
"CPB","Corporate Performance Bonus",""
"CPC","Cost Per Click",""
"CPDD","Curriculum Planning and Development Division",""
"CPE","Council For Private Education",""
"CPF","Central Provident Fund",""
"CPFB","Central Provident Fund Board",""
"CPIB","Corrupt Practices Investigation Bureau",""
"CPM","Cost Per Thousand",""
"CPS","Child Protective Service",""
"CPWG","CLP Procurement Working Group",""
"CRA","Casino Regulatory Authority of Singapore",""
"CRD","Competition & Resilience Development",""
"CRM","Customer Relationship Management",""
"CRO","Chief Records Officer",""
"CRO","Chief Risk Officer",""
"CRS","Call Report System",""
"CS","Corporate Services",""
"CS Card","Civil Service Card",""
"CSA","Cyber Security Agency of Singapore",""
"CSC","Civil Service College",""
"CSCP","Civil Service Computerisation Plan",""
"CSDM","Complex Systems Design & Management",""
"CSG","Govtech - Cyber Security Group",""
"CSIRT","Computer Security Incident Response Teams",""
"CSP","Career Support Programme",""
"CSP","Cloud Service Provider",""
"CSP","Common Service Provider",""
"CSS","Customer Satisfaction Survey",""
"CST","China Standard Time (UTC+08:00)",""
"CST","Central Standard Time USA (UTC-06:00)",""
"CTA","Call To Action",""
"CTE","Central Expressway",""
"CTMO","Clusters and Technology Management Office",""
"CTO","Chief Technology Officer",""
"CTR","Click Through Rate",""
"CTS","Central Technical Services",""
"CUSTOMS","Singapore Customs",""
"CV","Contract Variation",""
"CWC","Cyber Watch Centre",""
"CWP","Content Web Platform",""
"CWP","Cut Waste Panel",""
"CentEx","Centre of Excellence",""
"Centexes","Centres of Excellence",""
"CoL","Collaborative Learning",""
"D&D","Dinner & Dance",""
"D3","Digital Design and Development",""
"DA","Demand Aggregation",""
"DAPG","Data Analytics Practice Group",""
"DC","Development Charge",""
"DC","Developing Contributor",""
"DC","Direct Contracting",""
"DC","Distribution Centre",""
"DCE","Deputy CEO",""
"DCI","Digital Cinema Initiatives",""
"DCO","Defence Cyber Organization",""
"DCS","Document Collaboration Service",""
"DDUT","Dumont d'Urville Time (UTC+10:00)",""
"DE","Digital Economy",""
"DEF","Digital Economy Framework",""
"DES","Data Encryption Standard",""
"DESSA","Digital Economy Smart Services Architecture",""
"DEX","Samsung Desktop Experience",""
"DFMA","Design for Manufacturing & Assembly",""
"DFS","Domain, Functional, Specialist",""
"DGB","Digital Government Blueprint",""
"DGE","Director-General Education",""
"DH","Department Head",""
"DIC","Deputy In Charge",""
"DIC","DSTA Integrated Complex",""
"DISC","A Personality Type Analysis used by HR",""
"DISG","Digital Industry Singapore",""
"DLP","Digital Learning Platform",""
"DLT","Distributed Ledger Technology",""
"DM","Directors Meeting",""
"DMP","Data Management Platform",""
"DOS","Department Of Statistics",""
"DPC","Development Planning Committee",""
"DPI","Deep Packet Inspection",""
"DR Plan","Disaster Recovery Plan","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"DRB","Digital Readiness Blueprint",""
"DRD","Data and Resilience Department",""
"DRE","Daily-Rated Employee",""
"DRM","Data Reference Model","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"DRMS","Digital Record Management System",""
"DRO","Division Records Officer",""
"DRUMS","Distortions, Rumours, Untruths, Misinformation, and Smears",""
"DS","Deputy Secretary",""
"DSA","Direct School Admission",""
"DSAI","Data Science and Artificial Intelligence",""
"DSAID","Data Science and Artificial Intelligence Department",""
"DSD","Designated Specialised Department",""
"DSG","Design Singapore Council",""
"DSL","Digital Services Lab",""
"DSLC","Digital Services Lab Cluster",""
"DSP","Deputy Superintendent of Police",""
"DSRC","Dedicated Short Range Communications",""
"DSS","Digital Service Standard",""
"DSS","Digital Service Standards",""
"DSTA","Defence Science and Technology Agency",""
"DT","Design Thinking",""
"DU","Dwelling Unit",""
"DWP","Digital Workplace",""
"DWPO","Digital Workplace Programme Office",""
"DWT","Digital Workplace Transformation",""
"EAP","Employment Adjustment Programme",""
"EASE","Enterprise ProActive Support Environment",""
"EAT","East Africa Time (UTC+03:00)",""
"EC","Establishment Committee",""
"ECDA","Early Childhood Development Agency",""
"ECM","Emergency Planning & Crisis Management",""
"ECRM","Electronic Customer Relationship Management",""
"ECT","Eastern Caribbean Time (UTC-04:00)",""
"ED","Economy Drive",""
"ED-ITPWC","Economy Drive- InfoComm Technology P Working Committee",""
"EDB","Economic Development Board",""
"EDG","Enterprise Development Grant",""
"EDP","Enterprise Data Platform",""
"EDT","Eastern Daylight Time (UTC-04:00)",""
"EES","Employee Engagement Survey",""
"EES","Employee Self Service",""
"EET","Eastern European Time (UTC+02:00)",""
"EFMA","Employment of Foreign Manpower Act",""
"EGT","Eastern Greenland Time (UTC-01:00)",""
"EIP","Ethnic Integration Policy",""
"EIT","Eastern Indonesian Time (UTC+09:00)",""
"EIU","Economist Intelligence Unit- research organization",""
"ELD","Elections Department Singapore",""
"EMA","Energy Market Authority",""
"EMS","Entrepass Management System",""
"EOD","End Of Day",""
"EOL","End Of Life",""
"EOM","Expenditure Of Manpower",""
"EP","Employment Pass",""
"EP","Emergency Preparedness",""
"EPO","ePolicy Ochestrator",""
"EPOL","Employment Pass Online",""
"EPP","Endpoint Protection",""
"EPPU","Expenditure and Policies Procurement Unit, MOF",""
"EPS","Electronic Public Services",""
"EPV","Estimated Procurement Value",""
"ERC","Economic Review Committee",""
"ERP","Enterprise Resource Planning",""
"ERP","Electronic Road Pricing",""
"ESDP","Electronic Services Delivery Programme",""
"ESG","Enterprise Singapore",""
"ESG","Environmental, Social and Governance",""
"EST","Eastern Standard Time USA (UTC-05:00)",""
"ESub","eSubmission",""
"ETA","Electronic Transactions Act",""
"ETA","Electronic Transaction Act",""
"ETD","Educational Technology Division",""
"ETMS","Enterprise Threat Management Service",""
"ETPL","Exploit Technologies Pte Ltd",""
"EUCD","End-user Computing Device",""
"EUSH","End User Self-Help Portal",""
"EVP","Employee Value Proposition",""
"EVS","Enterprise Voice Service",""
"EXCEL","Excellence Through Continuous Enterprise and Learning",""
"EXCO","Executive Committee",""
"F&B","Food & Beverage",""
"FAA","Financial Approving Authority",""
"FAQ","Frequently Asked Questions",""
"FBO","Facilities Based Operators",""
"FCC","Functional Competency Courses",""
"FCM","Finance Circular Minutes",""
"FEC","Future Economy Committee",""
"FEPO","For entertainment purpose only",""
"FFE","File and Folder Encryption",""
"FFLP","Friendly Faces, Lively Places Fund, HDB",""
"FGD","Focus Group Discussion",""
"FIN","Foreign Identification Number",""
"FIPG","Finance, Investment & Procurement Group",""
"FISH","EFficient RetrIeval of Shared Know-How",""
"FJT","Fiji Time (UTC+12:00)",""
"FKST","Falkland Islands Summer Time (UTC-03:00)",""
"FLE","Field Level Encryption",""
"FLEX","Flexible Benefits Program",""
"FNC","Finance Cluster",""
"FNT","Fernando de Noronha Time (UTC-02:00)",""
"FNV","Fax and voice",""
"FOH","Friends of Our Heartlands",""
"FP1","Fusionopolis 1",""
"FPE","Format Preserving Encryption",""
"FRC","Fast Response Car",""
"FRS","File Registry System",""
"FSC","Full-time School Counsellor",""
"FTA","Free Trade Agreement",""
"FTNS","Full-Time National Service",""
"FWIW","For what it's worth",""
"FY","Financial Year",""
"FYNA","For Your Necessary Action",""
"G2B","Government to Business",""
"GATS","General Agreement on Trade in Services",""
"GCC","Government Commercial Cloud",""
"GCDTO","Government Chief Digital Technology Officer",""
"GCHE","Government Compliant Hosting Environment",""
"GCP","Google Cloud Platform",""
"GCSO","Government Cyber Security Operations",""
"GDC","Government Data Centre",""
"GDO","Government Data Office, SNGDO",""
"GDPR","General Data Protection Regulation, European Union",""
"GDS","Government Digital Service","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"GDS","Government Data Strategy",""
"GDSC","Government Data Steering Committee",""
"GDSG","Government Digital Services Group",""
"GEMS","Government Electronic Mail System",""
"GEN","Government Enterprise Network","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"GET","Georgia Standard Time (UTC+04:00)",""
"GFE","Government Furnished Equipment",""
"GFI","Government Furnished Information",""
"GFT","French Guiana Time (UTC-03:00)",""
"GH","Group Head",""
"GIAS","Government Internet Access Service",""
"GICS","Government Infrastructure Cybersecurity Services",""
"GIG","Government Infrastructure Group, GovTech",""
"GIMI","Government Integrated Messaging Infrastructure",""
"GITD","Group IT Department",""
"GITD","Group IT Division",""
"GITSIR","Government IT Security Incident Response, GovTech",""
"GLCs","Government-linked Companies",""
"GLS","Government Land Sales",""
"GLS","Grocery Logistics Singapore",""
"GMNet","Government Managed Network",""
"GMT","Greenwich Mean Time (UTC+00:00)",""
"GNA","Good Neighbour Award",""
"GNOC","Government Network Operations Centre",""
"GOA","Government Online Asset",""
"GPA","Government Procurement Agreement",""
"GPAA","Grants and Projects Approving Authority",""
"GPC","Government Private Cloud",""
"GPC","Government Parliamentary Committee",""
"GPE","Government Procurement Entities",""
"GPO","Group Policy",""
"GPP","E-Government Policies & Programmes",""
"GRL","Grass Roots Leaders",""
"GS","Government Systems",""
"GSIB","Government Standard Image Build",""
"GSOC","Government Security Operations Centre",""
"GSS","Government Security Services",""
"GSSO","Government Standard Software Package",""
"GST","Goods and Services Tax",""
"GST","Gulf Standard Time (UTC+04:00)",""
"GTM","Google Tag Manager",""
"GUT","Gateway Utility Tier, AIAS",""
"GVG","Governance Group, GovTech",""
"GWS-X","Government Web Services Exchange",""
"GYT","Guyana Time (UTC-04:00)",""
"Gcloud","Government Cloud",""
"GeBIZ","Government Electronic Business",""
"GovTech","Government Agency of Singapore","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"Gssp","Government Security Service",""
"H1H2H3","Horizon 1/2/3",""
"HADR","High Availability Disaster Recovery",""
"HCS","Head Civil Service",""
"HDB","Housing & Development Board",""
"HITS","Hub for Internet and Intranet Services",""
"HKT","Hong Kong Time (UTC+08:00)",""
"HMG","Housing Maintenance Group",""
"HOD","Head of Department",""
"HOD","Head of Division",""
"HPB","Health Promotion Board",""
"HRL","HR Leaders and Reps",""
"HRLM","Human Resource Leaders Meeting",""
"HRMS","Human Resource Management System",""
"HRP","HR & Payroll",""
"HRPS","HR & Payroll System",""
"HSA","Health Sciences Authority",""
"HST","HawaiiAleutian Standard Time (UTC-10:00)",""
"HTA","Home Team Academy",""
"I2R","Institute for Infocomm Research",""
"IA","Internal Audit",""
"IAA","Internal Approving Authority",""
"IAAS","Account Application System",""
"IAP","Infocomm Advisory Panel",""
"IB","Initiation Budget",""
"IBBMM","Interactive Broadband Multimedia",""
"ICA","Immigration & Checkpoints Authority of Singapore",""
"ICM","Infocomm and Media",""
"ICO","Initial Coin Offering",""
"ICT","Info Comm Technology",""
"ICT","Intra-Corporate Transferee",""
"ICT","Indochina Time (UTC+07:00)",""
"ICT","Information and Communications Technology",""
"ICT RPO","ICT Recovery Point Objective","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"ICT RTO","ICT Recovery Time Objective","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"ICYMI","In Case You Missed It",""
"IDG","InfoComm Discussion Group",""
"IDL","Interface Description Language",""
"IDMF","Integrated Data Management Framework",""
"IDP","Individual Development Plan",""
"IDS","Intrusion detection system",""
"IDT","Israel Daylight Time (UTC+03:00)",""
"IE Singapore","International Enterprise Singapore",""
"IEM","Integrated Environment Modeller",""
"IEP","InfoComm Education Program",""
"IFH","InfoComm Hub",""
"IFS","IDA Industry Feedback Survey",""
"IHLs","Institutes of Higher Learning",""
"ILEs","Infocomm Local Enterprises",""
"IM","Instruction Manual",""
"IM1","Instruction Manual 1 on Financial Control","https://intranet.mof.gov.sg/portal/IM/Themes/Financial-Control.aspx"
"IM2","Instruction Manual 2 on Human Resource Management","https://intranet.mof.gov.sg/portal/IM/Themes/Staff.aspx"
"IM3","Instruction Manual 3 on Procurement","https://intranet.mof.gov.sg/portal/IM/Themes/Procurement.aspx"
"IM4","Instruction Manual 4 on Asset Management","https://intranet.mof.gov.sg/portal/IM/Themes/Asset-Management.aspx"
"IM5","Instruction Manual 5 on Revenue Contracting","https://intranet.mof.gov.sg/portal/IM/Themes/Revenue-Contracting.aspx"
"IM6","Instruction Manual 6 on Office Administration","https://intranet.mof.gov.sg/portal/IM/Themes/Office-Admin.aspx"
"IM7","Instruction Manual 7 on Public Communications and Quality Service","https://intranet.mof.gov.sg/portal/IM/Themes/Quality-Service.aspx"
"IM8","Instruction Manual 8 on ICT Management","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management.aspx"
"IMC","Inter Ministerial Committee",""
"IMC","International Maritime Centre",""
"IMCS","Instant Messaging and Conferencing Service",""
"IMD","In Mall Distribution",""
"IMDA","Info-communications Media Development Authority",""
"IMO","In My Opinion",""
"IMP","Internal Market Place",""
"IOC","Initial Operational Capability",""
"IOC","Integrated Operations Centre",""
"IOC","Infrastructure Operations Command",""
"IP","Intellectual Property",""
"IP","Investigation Paper",""
"IPAM","Institute of Public Administration and Management",""
"IPB","Individual Performance Bonus",""
"IPI","Intellectual Property Intermediary",""
"IPOS","Intellectual Property Office Of Singapore",""
"IPRS","Purchase Requisition System",""
"IQA","Internal Quality Audit",""
"IQTs","Innovation & Quality Teams",""
"IRAS","Inland Revenue Authority Of Singapore",""
"IRDT","Iran Daylight Time (UTC+04:30)",""
"IRST","Iran Standard Time (UTC+03:30)",""
"ISEAS","Institute of Southeast Asian Studies",""
"ISM","Information Systems Manager",""
"ISMC","Information Systems Management Committee",""
"ISMP","Infocomm Security Masterplan",""
"ISP","Internet Service Providers",""
"ISS","Internet Surfing Separation",""
"IST","Israel Standard Time (UTC+02:00)",""
"IST","Indian Standard Time (UTC+05:30)",""
"ISTANA","President's Office, Istana",""
"IT","Integration Tier",""
"ITE","Institute of Technical Education",""
"ITM","Infocomm Media Industry Transformation Map",""
"ITQ","Invitation to Quote",""
"ITR","Infocomm Technology Roadmap",""
"ITSC","Information Technology Standards Committee",""
"ITSM","IT Service Management",""
"ITT","Invitation to Tender",""
"IaaS","Infrastructure as a Service",""
"IoT","Internet of things",""
"JD","Job Description",""
"JOC","Joint Operations Command",""
"JOL","Joy of Learning",""
"JOS","Joint Operations Secretariat",""
"JPEG","Joint Photographic Experts Group",""
"JSON","JavaScript Object Notation",""
"JST","Japan Standard Time (UTC+09:00)",""
"JTC","JTC Corporation",""
"KB","Knowledge Bank",""
"KEN","Knowledge Enterprise Network",""
"KIV","Keep In View",""
"KM","Knowledge Management",""
"KMEP","Knowledge Management Experimentation Programme",""
"KPI","Key Performance Index",""
"KPI","Key Performance Indicator",""
"KST","Korea Standard Time (UTC+09:00)",""
"KYC","Know Your Customer",""
"LDA","Latent Dirichlet Allocation",""
"LDAP","Lightweight Directory Access Protocol",""
"LDAPS","Lightweight Directory Access Protocol Over Secure Socket Links",""
"LEDP","Local Enterprise Development Programme",""
"LEW","Licensed Electrical Worker",""
"LGTM","Looks Good To Me",""
"LHST","Lord Howe Standard Time (UTC+10:30)",""
"LIDAR","Light Detecting and Ranging",""
"LINT","Line Islands Time (UTC+14:00)",""
"LLE","Large Local Enterprise",""
"LLP","Learning for Life Programme",""
"LMS","Learning Management System",""
"LOA","Leave Of Absence",""
"LOA","Letter Of Award",""
"LOA","Letter Of Approval",""
"LPS","Large Panel Slab",""
"LRD","Learning Resource Directory",""
"LRS","Log Retrieval System",""
"LTA","Land Transport Authority",""
"LTEA","Land Transport Excellence Awards",""
"LTSS","Long Term Service Support",""
"LUP","Lift Upgrading Programme",""
"LX","Leadership eXchange",""
"MA","Matters Arising",""
"MAC","Market Adjustment Component",""
"MARK","MediA Relations Knowledge Management System",""
"MART","Marquesas Islands Time (UTC-09:30)",""
"MAS","Monetary Authority of Singapore",""
"MAU","Monthly Active User",""
"MBC","Mapletree Business Center",""
"MBIM","Medical Benefits Identity Memo",""
"MC","Management Committee",""
"MC","Medical Certificate",""
"MCCY","Ministry Of Culture, Community And Youth",""
"MCF","My Careers Future","mycareersfuture.sg"
"MCG","Multi Company Group",""
"MCI","Ministry of Communications and Information",""
"MCIO","Microsoft Cloud Infrastructure and Operations",""
"MCISO","Ministry Chief Information Security Officer",""
"MCS","Mission-Critical Systems","https://intranet.mof.gov.sg/portal/IM/Themes/IT-Management/Glossary/EntireSection.aspx"
"MDP","Minor Development Project",""
"MDV","Minor Development Vote",""
"MEST","Middle European Summer Time (UTC+02:00)",""
"MEWR","Ministry of Environment and Water Resources",""
"MFA","Ministry of Foreign Affairs",""
"MFA","Multi Factor Authentication",""
"MFDP","Ministry Family Digitalisation Plan",""
"MHA","Ministry of Home Affairs",""
"MHI","Managed Hosting Infrastructure",""
"MI","Messaging Infrastructure",""
"MI","Merit Increment",""
"MIC","Manager In Charge",""
"MICE","Meetings, Incentives, Conventions and Exhibitions",""
"MIN","Minister",""
"MINDEF","Ministry of Defence",""
"MINLAW","Ministry of Law",""
"MLC","Micro-Learning Course",""
"MM","Middle Management",""
"MMBA","Ministry Medical Benefits Administrator",""
"MMF","Manpower Management Framework",""
"MMT","Myanmar Standard Time (UTC+06:30)",""
"MND","Ministry of National Development",""
"MOCC","Monitoring and Operations Command Centre",""
"MOE","Ministry Of Education",""
"MOF","Ministry Of Finance",""
"MOH","Ministry Of Health",""
"MOI","Memorandum Of Intent",""
"MOL","Moments Of Life",""
"MOM","Ministry Of Manpower",""
"MOS","Minister Of State",""
"MOT","Ministry Of Transport",""
"MOU","Memorandum Of Understanding",""
"MP","Member of Parliament",""
"MPA","Maritime And Port Authority Of Singapore",""
"MPDA","Minimum Pension Drawing Age",""
"MPLS","Multi Protocol Label Switching",""
"MPS","Managed Print Services",""
"MRO","Maintenance Repair Overhaul",""
"MRSS","Media RSS",""
"MS","Mail Service",""
"MSF","Multi Source Feedback",""
"MSF","Ministry Of Social And Family Development",""
"MSK","Moscow Time (UTC+03:00)",""
"MSL","MediShield Life",""
"MSM","Ministerial Staff Meeting",""
"MSO","Medisave-cum-Subsidised Outpatient",""
"MSO","Management Support Officer",""
"MSP","Minimum Service Period",""
"MSS","Management Support Scheme",""
"MST","Mountain Standard Time USA (UTC-07:00)",""
"MST","Malaysia Standard Time (UTC+08:00)",""
"MTI","Ministry of Trade and Industry",""
"MUIS","Majlis Ugama Islam Singapura",""
"MUT","Mauritius Time (UTC+04:00)",""
"MVP","Minimum Viable Product",""
"MXOs","Management Executives",""
"MXS","Management Executive Scheme",""
"MaaS","Mobility as a Service",""
"MoP","Member of Public",""
"NAC","Network Access Control",""
"NAC","National Arts Council",""
"NAF","National Authentication Framework",""
"NAI","National Authentication Infrastructure",""
"NAS","National Archives of Singapore",""
"NBN","National Broadband Network",""
"NCB","National Computer Board",""
"NCIRC","National Cybersecurity Incident Response Centre",""
"NCMP","Non-Constituency Member of Parliament",""
"NCSC","National Cable Standards Committee",""
"NCSS","National Council Of Social Service",""
"NDA","Non Disclosure Agreement",""
"NDA","Non-Disclosure Agreement",""
"NDA","National Day Award",""
"NDI","National Digital Identity",""
"NDP","National Day Parade",""
"NDS","National Data Strategy",""
"NDT","Newfoundland Daylight Time (UTC-02:30)",""
"NEA","National Environment Agency",""
"NECTAR","Next-Generation Container Architecture",""
"NEV","Net Economic Value",""
"NFS","New Financial System",""
